id|conference|CCF Rank|CCF field|year|paper
77|VLDBJ|A|数据库/数据挖掘/内容检索|2017|Distributed shortest path query processing on dynamic road networks
78|TPDS|A|计算机体系结构/并行与分布计算/存储系统 |2022|A Parallel Algorithm Template for Updating Single-Source Shortest Paths in Large-Scale Dynamic Networks
79|STOC|A|计算机科学理论|2023|Maximum Length-Constrained Flows and Disjoint Paths: Distributed Deterministic and Fast
80|JPDC|B|计算机体系结构/并行与分布计算/存储系统|2022|A fast parallel max-flow algorithm
81|SICOMP|A|计算机科学理论 |2018|Near-Optimal Distributed Maximum Flow
82|DC|C|计算机体系结构/并行与分布计算/存储系统|2023|A distributed algorithm for directed minimum-weight spanning tree
83|DC|C|计算机体系结构/并行与分布计算/存储系统|2021|Broadcast and minimum spanning tree with o(m) messages in the asynchronous CONGEST model.
84|STOC|B|计算机科学理论 |2017|A Time- and Message-Optimal Distributed Algorithm for Minimum Spanning Trees
85|PODC|B|计算机体系结构/并行与分布计算/存储系统|2019|Distributed Minimum Degree Spanning Trees
86|SIGMOD|A|数据库/数据挖掘/内容检索|2021|Fast Parallel Algorithms for Euclidean Minimum Spanning Tree and Hierarchical Spatial Clustering
87|ISAAC|C|计算机科学理论 |2021|Lower Bounds for Induced Cycle Detection in Distributed Computing
88|SPAA|B|计算机体系结构/并行与分布计算/存储系统|2017|Distributed Detection of Cycles
89|TAC|B|人工智能|2023|A Scalable Distributed Dynamical Systems Approach to Learn the Strongly Connected Components and Diameter of Networks
90|IPDPS|B|计算机体系结构/并行与分布计算/存储系统|2022|Communication-efficient Massively Distributed Connected Components
91|DPD|C|数据库/数据挖掘/内容检索|2018|Distributed computing connected components with linear communication cost
92|TPDS|A|计算机体系结构/并行与分布计算/存储系统|2017|Fast Connected Components Computation in Large Graphs by Vertex Pruning
93|TPDS|A|计算机体系结构/并行与分布计算/存储系统|2017|An Adaptive Parallel Algorithm for Computing Connected Components
94|TON|A|计算机网络|2016|Distributed Greedy Approximation to Maximum Weighted Independent Set for Scheduling With Fading Channels
95|IA3|/|/|2020|Distributed Memory Graph Coloring Algorithms for Multiple GPUs
96|IEEE CLOUD|C|交叉/综合/新兴|2020|A distributed large graph coloring algorithm on Giraph
97|AE|/|/|2015|A Distributed Hybrid Algorithm for the Graph Coloring Problem
98|SICOMP|A|计算机体系结构/并行与分布计算/存储系统|2014|Distributed (Delta+1)-Coloring in Linear (in Delta) Time
99|TPDS|A|计算机体系结构/并行与分布计算/存储系统|2019|Vertex Coloring with Communication Constraints in Synchronous Broadcast Networks
100|TPDS|A|计算机体系结构/并行与分布计算/存储系统|2018|A Parallel Complex Coloring Algorithm for Scheduling of Input-Queued Switches
101|SC|A|计算机体系结构/并行与分布计算/存储系统 |2011|Parallel breadth-first search on distributed memory systems
