id|name|description
1d9085bb-fc34-53f0-b9e2-6a3b5b93c43b|Block-Based Triangle Counting Algorithm|The authors propose a block-based triangle counting algorithm to reduce data movement during both sequential and parallel execution. This algorithm partitions the graph into smaller blocks, allowing for more efficient processing and minimizing the need for accessing the entire graph for each block. The algorithm uses a symmetric rectilinear partitioning strategy to divide the graph into blocks, ensuring that each block can fit into memory. It also employs a block variant of the Compressed Sparse Row (CSR) format to store the graph, reducing memory usage. The algorithm then processes each block in parallel, using a combination of CPU and GPU resources to count triangles. The authors report that their algorithm achieves a speedup of up to 18x on large graphs and up to 22x on smaller instances compared to existing algorithms.
011dae16-b037-5e48-a11e-cdef597709fb|Task-Based Execution Model|The authors propose a task-based execution model for heterogeneous environments, which allows for the efficient distribution of tasks among different CPUs and GPUs. The model uses a lightweight scheduler to schedule tasks on available devices, taking into account the workload of each task and the available resources. The scheduler also handles the movement of data blocks needed for task execution. The authors report that their task-based execution model achieves better scalability and performance compared to existing approaches, with a speedup of up to 5.6x on the Friendster graph.
441c4d72-967a-5349-874a-529595cea3ab|Dynamic Scheduling Technique|The authors propose a dynamic scheduling technique for block-based execution on heterogeneous environments, which avoids the long tail problem by scheduling bottleneck tasks to CPUs. The technique uses a heuristic-based ordering of tasks, which separates bottleneck tasks from lightweight tasks. It then schedules tasks on available devices, taking into account the workload of each task and the available resources. The authors report that their dynamic scheduling technique achieves better performance and scalability compared to existing approaches, with a speedup of up to 2.7x on the Twitter graph.
8b15027f-5bc5-5ca9-9684-feefa7016ba5|Hybrid Execution and Cut-Off Technique|The authors propose a hybrid execution technique that combines CPU and GPU processing, using a cut-off technique to determine the optimal distribution of tasks between CPUs and GPUs. The technique uses a cut-off value to determine the number of tasks to be executed on CPUs and GPUs, taking into account the workload of each task and the available resources. The authors report that their hybrid execution technique achieves better performance and scalability compared to existing approaches, with a speedup of up to 18x on large graphs and up to 22x on smaller instances.
707e9589-1f83-5e70-b6be-a300ecbde672|Task-Based Execution with Dynamic Scheduling|The authors propose a task-based execution approach with dynamic scheduling to optimize communication efficiency in distributed algorithms. This approach involves dividing the computation into tasks and scheduling them dynamically to minimize communication overhead and maximize memory utilization.
416b5f6e-b194-5b99-a071-028d4d258516|Hybrid Intersection Approach|The authors propose a hybrid intersection approach to optimize communication efficiency in distributed algorithms. This approach involves combining list-based and hashmap-based intersection methods to minimize communication overhead and maximize memory utilization.
2217580f-f6ac-5071-93f3-3ac2e28a1ed5|Overlapping Communication and Computation|The authors propose an approach to overlap communication and computation to optimize communication efficiency in distributed algorithms. This approach involves using multiple streams on multiple GPUs to execute tasks simultaneously and move data asynchronously.
4130bcbe-d6ed-5ee1-8eea-641cb873ac98|Dynamic Task Scheduling Scheme|The authors propose a dynamic task scheduling scheme that schedules tasks on multi-core CPUs and multiple streams on multiple GPUs to effectively utilize the massive computing capabilities on the GPUs and overlap communication with computation. The scheme involves assigning computationally heavy tasks to GPUs and lighter tasks to CPUs, and using a cut-off point to separate bottleneck tasks from lightweight tasks. This approach allows for efficient utilization of GPU resources and minimizes the long tail problem. The authors report that their dynamic task scheduling scheme achieves better performance than a fully dynamic scheduling approach, with speedups ranging from 1.4 to 3.8.
fea4238d-4c50-5226-90dc-3b01e4ccbc94|Task Workload Estimation|The authors propose a task workload estimation technique to estimate the workload of tasks and assign them to GPUs or CPUs accordingly. The technique involves estimating the workload of tasks using a heuristic-based approach, which takes into account the average degree of blocks in a task and the maximum degree of vertices in the blocks. The authors report that their task workload estimation technique achieves better performance than other estimation functions, with speedups ranging from 1.4 to 2.6.
04fc1ddc-1e60-5bd5-b7d4-d68dc65536d9|Hybrid Execution and Cut-Off|The authors propose a hybrid execution approach that combines CPU and GPU execution, and uses a cut-off point to separate bottleneck tasks from lightweight tasks. The approach involves assigning computationally heavy tasks to GPUs and lighter tasks to CPUs, and using a cut-off point to separate bottleneck tasks from lightweight tasks. The authors report that their hybrid execution approach achieves better performance than a fully dynamic scheduling approach, with speedups ranging from 1.4 to 3.8.
438fb8b6-f632-5231-a763-e3f49cec1eca|PruneJuice|PruneJuice is a pruning-based solution that limits the exponential growth of the state space, scales to massive graphs and distributed memory machines with large number of processors, and supports arbitrary search templates.
c7feab00-8b4e-5fe0-9119-00e3490a8dc6|Template-Driven Search (TDS)|TDS is a distributed algorithm that applies to the solution subgraph to verify non-local constraints, ensuring that all non-matching vertices are eliminated.
cae35700-09fb-5b79-8e75-23d7901f14df|Load Balancing and Checkpointing|Load balancing and checkpointing are used to rebalance the workload and resume processing on a smaller deployment, reducing the overall runtime.
32c0d292-aed3-52c1-a4e0-0b8dbf75ede5|Edge Elimination|Edge elimination is used to reduce the number of edges in the graph, improving the overall efficiency of the system.
15399c3e-65ba-5f23-9584-2e9e1fd66504|Asynchronous NLCC|Asynchronous NLCC is a solution that addresses the challenge of optimizing communication efficiency in distributed algorithms by leveraging asynchronous communication to reduce the number of communication rounds.
771e5d2a-4b26-5633-b051-c75f22120075|Work Aggregation|Work Aggregation is a solution that addresses the challenge of optimizing communication efficiency in distributed algorithms by reducing the number of messages sent over eliminated edges.
15eecaa9-6df5-562b-b39a-c873ea28b5e1|Load Balancing|Load Balancing is a solution that addresses the challenge of optimizing communication efficiency in distributed algorithms by rebalancing the workload to evenly distribute vertices and edges across processing cores.
48b7423f-33aa-5d83-a776-0e4c7b9a2497|Pseudo-Dynamic Load Balancing Strategy|The authors propose a pseudo-dynamic load balancing strategy to address the challenge of load imbalance in distributed systems. This strategy involves checkpointing the current state of execution, reshuffling vertex to processor assignment to evenly distribute vertices and edges across processing cores, and then resuming processing on the rebalanced workload.
46242e57-894b-5fc3-94b8-de58adc59c51|Asynchronous Communication|The authors propose the use of asynchronous communication to improve load balance in distributed systems. This approach allows for efficient communication between nodes without requiring synchronization overheads.
d196d25f-e7a8-5ddc-9974-1b2c0afab294|Distributed Maximal Matching Algorithm|The authors propose a distributed algorithm for finding a maximal matching in a graph, which is a key component in efficient graph dynamics processing. The algorithm is designed to work in a radio network model, where nodes can communicate with each other through broadcasts. The algorithm uses a distributed and low-energy approach, where nodes wake up at random times and try to recruit one of their neighbors to pair with them. The algorithm also uses a three-step handshake protocol to ensure that both endpoints of the edge agree about who they are paired with. The authors show that the algorithm always terminates in O(log n) timesteps, and with high probability, each node uses energy at most O(log n log) and the matching is maximal.
a753bf0c-0711-5dbd-9028-e286ffb6e54c|Neighbor Assignment Function (NAF) Algorithm|The authors propose an algorithm for finding a Neighbor Assignment Function (NAF) in a graph, which is a key component in efficient graph dynamics processing. The algorithm is designed to work in a radio network model, where nodes can communicate with each other through broadcasts. The algorithm uses a distributed and low-energy approach, where nodes wake up at random times and try to recruit one of their neighbors to pair with them. The algorithm also uses a three-step handshake protocol to ensure that both endpoints of the edge agree about who they are paired with. The authors show that the algorithm always terminates in O(log n) timesteps, and with high probability, each node uses energy at most O(log n log) and the NAF is optimal.
5f420ded-7122-50f4-bdbd-28f3663b8859|Matching Cover Algorithm|The authors propose an algorithm for finding a matching cover in a graph, which is a key component in efficient graph dynamics processing. The algorithm is designed to work in a radio network model, where nodes can communicate with each other through broadcasts. The algorithm uses a distributed and low-energy approach, where nodes wake up at random times and try to recruit one of their neighbors to pair with them. The algorithm also uses a three-step handshake protocol to ensure that both endpoints of the edge agree about who they are paired with. The authors show that the algorithm always terminates in O(log n) timesteps, and with high probability, each node uses energy at most O(log n log) and the matching cover is optimal.
b1f7fa58-8ef9-58d1-b884-f103f9b94f25|Exponential Backoff with Limited Participation Rate|The authors propose a solution that combines exponential backoff with a limited participation rate to optimize communication efficiency in distributed algorithms. This approach aims to minimize the number of communication rounds by reducing the likelihood of collisions and increasing the chances of successful message transmission.
932bf4ba-5473-5eb6-8c53-df2050dbdb29|Three-Step Handshake Protocol|The authors propose a three-step handshake protocol to ensure that both endpoints of an edge agree on the formation of an edge. This protocol aims to minimize the number of communication rounds by reducing the likelihood of collisions and increasing the chances of successful message transmission.
303cf6fb-97bf-56c7-9504-27fc8e30f9ed|Adaptive Participation Rate|The authors propose an adaptive participation rate mechanism that adjusts the participation rate of nodes based on the number of rounds that have passed. This approach aims to minimize the number of communication rounds by reducing the likelihood of collisions and increasing the chances of successful message transmission.
b8014f33-9cf6-573a-bdab-a6f2d0e9f6a4|Neighbor Assignment Function (NAF) Load Balancing|The authors propose a method to optimize load balance in distributed systems by utilizing Neighbor Assignment Functions (NAFs). NAFs are used to assign each node to a neighbor, ensuring that each node has a backup device to store its data in case of failure. The goal is to minimize the maximum load, defined as the number of nodes assigned to a single node.
8d9bf607-ab83-5cbb-bb4a-84c8f53f3bfd|Partial NAF Load Balancing|The authors propose a method to optimize load balance in distributed systems by utilizing partial NAFs. Partial NAFs are used to assign a subset of nodes to their neighbors, ensuring that each node has a backup device to store its data in case of failure.
e670bbdf-1dc1-5ea6-8c30-3ccc19cbb6ab|Low Arb Deterministic Coloring Algorithm|This solution addresses the challenge of efficient graph dynamics processing by proposing a deterministic distributed algorithm that computes an O(2) coloring of any n-node graph G with arboricity α, in O(log n) rounds. The algorithm uses a low out-degree orientation of the edges, which is computed in O(log n) rounds, and then applies a variation of Linial's algorithm to color the graph.
adeb4d35-b632-5ce6-9ffc-5cc1fbdc64e0|Randomized O(log) Partial Coloring Algorithm|This solution addresses the challenge of efficient graph dynamics processing by proposing a randomized distributed algorithm that partially colors any n-node graph G with arboricity α, using O(log) colors, in a manner that the remaining graph has no path longer than O(log n), with high probability.
8e9d5ea8-1560-597e-8428-a214d767c54a|Tradeo Low Arb Coloring Algorithm|This solution addresses the challenge of efficient graph dynamics processing by proposing a randomized distributed algorithm that partially colors any n-node graph G with arboricity α, using 2 colors, for a small constant 0 < 1, in a manner that the remaining graph has no path longer than O(log n), with high probability.
62bbf885-1bf6-5b8c-aade-6546a0c137e3|Deterministic Coloring After Partial Coloring|This solution addresses the challenge of efficient graph dynamics processing by proposing a deterministic distributed algorithm that colors the remaining graph after partial coloring, using O(log n) rounds.
7bb9f83c-c187-57ae-bf9d-068e4dd0b1b5|H Partition with Degree d and Size log 2 2 n|This solution specifically addresses the challenge of optimizing communication efficiency in distributed algorithms by proposing an H partition method that partitions the nodes into log 2 2 n disjoint subsets, such that every node v Hj with j 1, 2, ..., l, has at most 2 neighbors in subsets y jHj. This approach enables the computation of an acyclic orientation of the edges in O log n rounds, such that each node has out degree at most O, which is crucial for minimizing round complexity.
cfcdeb8c-da12-5449-bffc-31662baba123|Low Out Degree Orientation via H Partition|This solution specifically addresses the challenge of optimizing communication efficiency in distributed algorithms by proposing a deterministic distributed algorithm that computes an acyclic orientation of the edges in O log1 2 n rounds, such that each node has out degree at most 2, for a given parameter 0.
2c0bcd4c-c0b2-5345-babc-6c99ed575716|Randomized Distributed Algorithm for Partial Coloring|This solution specifically addresses the challenge of optimizing communication efficiency in distributed algorithms by proposing a randomized distributed algorithm that partially colors the graph with O log colors, in a manner that the remaining graph has no path longer than O log n, with high probability.
baec4540-11e7-5e4d-82ff-e3c59781fa97|Local Ratio Technique for Distributed Vertex Cover|The authors propose a distributed algorithm for the minimum weight vertex cover problem using the local ratio technique. This technique involves iteratively reducing the weights of vertices and their neighbors while ensuring that the reduced weights do not become negative. The algorithm uses a local ratio framework, which is a novel adaptation of the sequential local ratio technique to the distributed setting. The key mechanism is the division of each vertex's weight into two parts: a vault and a bank. The vault is used to initiate requests for weight reductions with neighbors, while the bank is used to respond to requests from neighbors. This approach allows for efficient weight reductions while ensuring that no weight goes below zero. The algorithm achieves a 2-approximation for the minimum weight vertex cover problem in O(log log log) rounds, where is the maximum degree in the graph.
c75785cd-2899-5c71-9f01-37cd43fbe6e9|Distributed 2-Approximation Algorithm for MWVC|The authors present a distributed algorithm for the minimum weight vertex cover problem that achieves a 2-approximation in O(log log log) rounds. The algorithm uses a distributed implementation of the local ratio technique, which involves iteratively reducing the weights of vertices and their neighbors while ensuring that the reduced weights do not become negative. The algorithm also uses a novel approach to handle the vault and bank of each vertex, allowing for efficient weight reductions. The algorithm achieves a 2-approximation for the minimum weight vertex cover problem in O(log log log) rounds, where is the maximum degree in the graph.
f51ce5ef-a060-5829-8342-890b944f7c5a|Adaptation to the CONGEST Model|The authors propose an adaptation of their distributed algorithm to the CONGEST model, where the message size is limited to O(log n) bits. The adaptation involves modifying the request and budget messages to accommodate the limited message size. The authors also propose a novel approach to handle the vault and bank of each vertex, allowing for efficient weight reductions. The adapted algorithm achieves a 2-approximation for the minimum weight vertex cover problem in O(log log log) rounds, where is the maximum degree in the graph.
13f01285-dbbc-5061-90aa-50192ea707ff|Distributed Implementation of Local Ratio Technique|The authors provide a distributed implementation of the local ratio technique, which allows for efficient computation of the vertex cover in a distributed setting.
8b1d0731-077e-5114-8dde-96182d0372aa|Adaptation to CONGEST Model|The authors adapt their algorithm to the CONGEST model, which has limited message size.
0df8bfa4-01b3-5589-890f-86c9f6bf8181|Locality-Aware Memory Hierarchy|The authors propose a novel memory hierarchy that exploits the extension locality in graph mining to optimize GPU memory access. This hierarchy consists of a high-priority memory and a low-priority memory, which are used to store frequently accessed data and less frequently accessed data, respectively.
69c64f2d-130e-5fc2-8532-1591c0eba379|Pipelined Processing Units (PPUs)|The authors design pipelined processing units (PPUs) that minimize off-chip memory accesses and maximize computational parallelism. Each PPU consists of a slot buffer, a stealing buffer, and ancestor buffers, which work together to process embeddings in a pipelined manner.
aec8a945-6a14-5d0b-926d-ad5147e93b1e|Work Stealing Mechanism|The authors propose a work stealing mechanism that reduces load imbalance among processing units. This mechanism allows each processing unit to steal work from other units when it becomes idle.
0c0387de-cf92-55f0-aebf-c96c264e4200|Graph Reordering|The authors propose a graph reordering technique that enables fast computation of the rank of each data at runtime. This technique uses the vertex ID to represent the rank for each data.
d26c14e5-797e-512d-ac0e-db051e8450e8|Locality Aware On-Chip Memory Hierarchy|The authors propose a novel on-chip memory hierarchy that exploits the extension locality in graph mining applications to reduce off-chip communication overheads. This hierarchy consists of a high-priority memory and a low-priority memory, where the high-priority memory permanently stores frequently accessed data, and the low-priority memory dynamically maintains less frequently accessed data using a new replacement policy.
f7771377-ffea-5835-883c-76b391dc5e7d|Pipelined Processing Units (PPUs) with Work Stealing|The authors propose a pipelined processing unit (PPU) architecture that maximizes computational parallelism and reduces load imbalance in graph mining applications. Each PPU has a slot buffer, a stealing buffer, and ancestor buffers, which enable the simultaneous processing of multiple initial embeddings and the efficient reuse of intermediate results.
e3a734b1-154d-5f04-a42e-101d86d7a2cd|Graph Reordering for Fast Computation of Rank ON1|The authors propose a graph reordering technique that enables fast computation of the rank ON1 value at runtime. This technique uses the vertex ID to represent the rank for each data and reorders the vertex IDs to be consistent with their rank order.
fe34f752-7ecf-539c-ab29-62f3e313306b|Locality-Preserved Replacement Policy|The authors propose a locality-preserved replacement policy that integrates the cost-efficient heuristic with hardware implementations. This policy uses a linear function of the ON1 and the recency to replace low-priority data in the low-priority memory.
c86c28bf-93d3-510b-a277-f016a64efdc0|Adaptive Dispatching of Initial Embeddings|The authors propose an adaptive dispatching mechanism for initial embeddings to balance the parallel executions of workloads across processing units (PUs).
6bc1fbee-a703-5e5e-8695-f24311d7ada5|Dynamic Slack Allocation Algorithm|This solution specifically addresses the challenge of optimizing load balance in distributed systems by dynamically allocating slack to tasks based on their execution time and dependencies. The algorithm aims to minimize energy consumption while meeting performance constraints.
0b47d76c-fffc-5887-a2c7-b5c1df5e2eec|Energy-Aware Scheduling Algorithm|This solution addresses the challenge of optimizing load balance in distributed systems by scheduling tasks based on their energy consumption and performance requirements. The algorithm aims to minimize energy consumption while meeting performance constraints.
0a1f8420-293a-538d-8ad9-13d371ec5b8a|Virtual Machine Migration|This solution addresses the challenge of optimizing load balance in distributed systems by migrating virtual machines (VMs) based on their workload and resource utilization. The algorithm aims to minimize energy consumption and improve system performance.
1e1ecc46-93dc-5646-be6f-0d9e9bb6b57e|Workload Consolidation|This solution addresses the challenge of optimizing load balance in distributed systems by consolidating workloads onto fewer nodes. The algorithm aims to minimize energy consumption and improve system performance.
4a4c8c25-7372-5f7f-9921-e9acdaa36fde|Thermal-Aware Load Balancing|This solution addresses the challenge of optimizing load balance in distributed systems by taking into account thermal constraints. The algorithm aims to minimize energy consumption and improve system performance while meeting thermal constraints.
6c994ec5-6f1c-5a62-aae8-5cb86eba170e|Dynamic Voltage and Frequency Scaling (DVFS)|This solution addresses the challenge of optimizing load balance in distributed systems by dynamically adjusting voltage and frequency levels based on workload conditions. The algorithm aims to minimize energy consumption while meeting performance constraints.
68ebffd5-9277-5965-a535-5ac0c15123b9|Energy-Efficient Routing|This solution addresses the challenge of optimizing load balance in distributed systems by using energy-efficient routing protocols. The algorithm aims to minimize energy consumption while meeting performance constraints.
7f4257be-f969-5c22-a0f2-a10da562ae7c|Power-Aware Task Scheduling|This solution addresses the challenge of optimizing load balance in distributed systems by scheduling tasks based on their power consumption and performance requirements. The algorithm aims to minimize energy consumption while meeting performance constraints.
2716b0a1-b03a-556e-8728-8b292bcdce0e|Load Balancing with Performance Constraints|This solution addresses the challenge of optimizing load balance in distributed systems by taking into account performance constraints. The algorithm aims to minimize energy consumption while meeting performance constraints.
fea357b9-eaec-58d3-8a99-b31c9f29771a|Energy-Aware Resource Allocation|This solution addresses the challenge of optimizing load balance in distributed systems by allocating resources based on energy consumption and performance requirements. The algorithm aims to minimize energy consumption while meeting performance constraints.
3c421f4c-46ed-5be0-918d-19eab28468ee|Late Projection|Late projection is a technique used to reduce the size of messages sent between vertices in a distributed graph processing system. By delaying the projection of data until later in the computation, the system can reduce the amount of data that needs to be sent, resulting in improved communication efficiency.
c85fcf44-cceb-50a4-bc2a-c7a4c7031fd1|Pipeline Operators|Pipeline operators are a technique used to improve the scalability of the system by partitioning the messages processed by a vertex in one superstep. This allows the system to keep a limited number of messages in memory, reducing the memory requirements and improving communication efficiency.
9f241666-daea-53cd-81da-157a24682dd5|Temporary Tables|Temporary tables are a technique used to store partial solutions in memory, allowing the system to reduce the amount of data that needs to be sent between vertices. By storing partial solutions in memory, the system can reduce the number of messages sent between vertices, resulting in improved communication efficiency.
8ea98dbb-1a94-5baf-9955-63c66c8ff805|Combiners|Combiners are a technique used to reduce the number of messages sent between vertices by combining multiple messages into a single message. By combining multiple messages, the system can reduce the number of messages sent between vertices, resulting in improved communication efficiency.
c95a4c35-b7ec-5c24-a87a-1b669ad5fc11|Aggregators|Aggregators are a technique used to reduce the number of messages sent between vertices by aggregating multiple messages into a single message. By aggregating multiple messages, the system can reduce the number of messages sent between vertices, resulting in improved communication efficiency.
c786d3e3-7a48-50d3-93ec-8497bdccd773|Sharded Aggregators|Sharded aggregators are a technique used to reduce the number of messages sent between vertices by aggregating multiple messages into a single message, and then sharding the aggregated message across multiple machines. By sharding the aggregated message, the system can reduce the number of messages sent between vertices, resulting in improved communication efficiency.
9414fe94-9f3f-5817-a520-5b53e0d0adcb|Out-of-Core Capabilities|Out-of-core capabilities are a technique used to reduce the memory requirements of the system by storing data on disk instead of in memory. By storing data on disk, the system can reduce the memory requirements, resulting in improved communication efficiency.
9588ccdf-beda-563e-a70a-b297a588295b|ZooKeeper|ZooKeeper is a technique used to reduce the number of messages sent between vertices by providing a centralized coordination system. By providing a centralized coordination system, the system can reduce the number of messages sent between vertices, resulting in improved communication efficiency.
682586ac-8815-57bf-8df6-d53458fa28c4|Distributed Sketching for Maximal Matching and Maximal Independent Set|The authors propose a distributed sketching model for solving the maximal matching and maximal independent set problems in large graphs. They develop a protocol that allows each vertex to send a single message to a referee, who then computes the final output. The protocol uses a combination of public and private randomness to enable the referee to compute the final output. The authors also introduce a new distribution, DMM, which is used to prove lower bounds for the problems. The authors show that any algorithm for maximal matching or maximal independent set that errs with a small constant probability requires sketches of size n1 2 for any constant 0.
bd72dd1a-c104-53a3-acd3-bf16876bbdf4|Distributed Sketching Model|The authors propose a distributed sketching model to optimize communication efficiency in distributed algorithms. This model allows each vertex to send a message, called a sketch, to a referee, who then outputs a solution to a combinatorial problem on the graph.
1ecde26b-1122-5b37-92ff-c85cfcff0386|Ruzsa-Szemerédi Graphs|The authors use Ruzsa-Szemerédi graphs to prove communication complexity lower bounds for approximate matching algorithms. These graphs are incompressible in the context of the matching problem and require players to communicate almost their entire graph to the referee.
6c980e0a-7abe-5276-920e-a415afb6452d|Information Theoretic Analysis|The authors use information theoretic tools to analyze the lower bound for the distributed sketching model. They decompose the information revealed by messages into the information revealed by public players and the sum of the informations revealed by each group of unique players.
1ca9e14f-baf7-53d3-9d68-41a7441093c8|Relaxed Greed and Memory-based Algorithm (RGMA)|The RGMA is a distributed learning algorithm that addresses the challenge of efficient graph dynamics processing by proposing a novel approach to the minimal weighted vertex cover (MWVC) problem in distributed networking systems. The algorithm views each vertex as a self-conscious player interacting with neighbors along edges to maximize payoffs based on local information.
ad612ab2-0d99-5f96-a4b7-38c11a2eafad|Potential Game Theoretic Learning|The authors propose a potential game theoretic learning approach to address the challenge of efficient graph dynamics processing. This approach formulates the MWVC problem as a spatial potential game on the given graph, where each vertex is viewed as a rational player interacting with neighbors to maximize payoffs.
69951e8d-26f3-5f60-a297-6b8381486c0c|Distributed Algorithm for MWVC|The authors propose a distributed algorithm for the MWVC problem, which addresses the challenge of efficient graph dynamics processing. The algorithm is designed to work in a distributed manner, where each vertex updates its strategy concurrently.
05a7e143-42d6-5618-9a4e-80fd92b4c7c5|Distributed Two-Level Path (DTLP) Index|The DTLP index is a novel solution proposed by the authors to address the challenge of efficient graph dynamics processing. It is designed to facilitate the efficient identification of relevant subgraphs in a dynamic graph, which is crucial for processing k-shortest path queries.
0ef81d81-a170-5d1b-8464-44cac88d2a60|K-Shortest Paths in Dynamic Graphs (KSP DG) Algorithm|The KSP DG algorithm is a distributed algorithm proposed by the authors to process k-shortest path queries in dynamic graphs. It is designed to work in conjunction with the DTLP index to efficiently identify k-shortest paths in a dynamic graph.
dadfecad-5136-5556-98c9-2e4aeb1450f4|Edge Path Index (EP Index)|The EP Index is a data structure proposed by the authors to efficiently manage the large number of bounding paths in each subgraph. It is designed to support the maintenance of bounding paths in the DTLP index.
41791362-d7bc-54d2-9ccc-5af4bf8ff5f7|Distributed Two-Level Path Index (DTLP)|The authors propose a Distributed Two-Level Path Index (DTLP) to optimize communication efficiency in distributed algorithms for identifying k shortest paths in dynamic road networks. DTLP is designed to facilitate distributed query processing over dynamic graphs by partitioning the graph into smaller subgraphs and indexing each subgraph by maintaining a list of bounding paths between any pair of boundary vertices.
355184f7-da94-5256-b08b-d0845d54f891|KSP DG Algorithm|The authors propose the KSP DG algorithm, which is designed to run in a distributed fashion on a cluster of servers. KSP DG decomposes the problem of identifying k shortest paths in the entire graph into searching for partial k shortest paths in different subgraphs in parallel.
6087afed-9bd7-5c48-92a7-9ed1f68afbd4|Distributed Expander Decomposition|The authors propose a distributed expander decomposition algorithm to efficiently process dynamic updates in large graphs. This algorithm decomposes the graph into smaller clusters with good expansion properties, allowing for faster computation of graph structures and centrality measures.
368dc401-9ef6-5390-afcb-152288295e91|Parallelized ApproximateNibble|The authors propose a parallelized version of the ApproximateNibble algorithm to efficiently compute sparse cuts in large graphs. This algorithm is designed to work in a distributed setting, allowing for faster computation of sparse cuts even in the presence of dynamic updates.
59d5844d-dcc5-5616-8c0f-48bb3c2d4a4b|Low-Diameter Decomposition|The authors propose a low-diameter decomposition algorithm to efficiently process dynamic updates in large graphs. This algorithm decomposes the graph into smaller clusters with low diameter, allowing for faster computation of graph structures and centrality measures.
e559aa31-29f8-5718-8ff5-ccfe1632b985|Hierarchical Routing Structure|The authors propose a hierarchical routing structure to efficiently process dynamic updates in large graphs. This structure allows for faster computation of graph structures and centrality measures, even in the presence of dynamic updates.
371c00f4-d035-5c98-a2ee-ba432a6f4840|Distributed Expander Decomposition Algorithm|The authors propose a distributed expander decomposition algorithm that efficiently partitions the graph into clusters with low conductance and diameter. This algorithm is designed to optimize communication efficiency in distributed algorithms by reducing the number of communication rounds required for various graph problems.
4400b731-94a8-5f72-b5fb-9968075bb2a3|Parallelized Nibble Algorithm|The authors propose a parallelized version of the Nibble algorithm, which is a key component of the distributed expander decomposition algorithm. This parallelized algorithm enables the efficient execution of multiple Nibble instances simultaneously, reducing the overall round complexity.
